score,text
0,"poesie, storia, lingua, economia della sardegna, la sfinge, ariccia, 2004.
"
0,"a cura di giuseppe petazzi.
"
0,"vocabolario medico : italiano-sardo sardo-italiano, 2d editrice mediterranea, casteddu
"
0,"aktuelle themen und projekte, a cura di cornelia stroh, universitätsverlag dr. brockmeyer, bochum, 2012, pp.
"
0,"sas 1500 paragulas fundamentales de sa limba sarda, della torre, casteddu, 2000.
"
0,"una proposta, 2010.
"
0,"artìculos ligados
"
0,"grafias de sa limba sarda
"
0,"limbas alloglotas de sa sardigna
"
0,"àteros progetos
"
0,"s'italianu (italiano [itaˈljaːno] o lingua italiana [ˈliŋɡwa itaˈljaːna]) est una limba romanza de sa famiglia europea de is limbas indoeuropeas.
"
0,"s'italianu derivat de su latinu volgare de s'imperu romanu e, in paris a su sardu, est sa limba chi prus s'acostiat a issu.
"
0,"s'italianu est sa limba ufitziale in itàlia, in isvìtzera (in ue est sa limba prìntzipale de su ticino, is baddes graubünden de calanca, mesolcina, bregaglia e val poschiavo].
"
0,"a s'imbesse de is limbas gallo-italicas de su nord-italia, s'italo-dalmata napolitanu e is dialetos correlados sunt abbarrados a foras de s'influentzia franco-otzitana introdusidos in nord italia de is poetas franco-proventzales in su mesuevu, ma a pustis sa cunchista normanna de su sud-italia, sa sitzilia est diventada sa primu terra italian a adotare sa metrica lirica ( e is faeddos) in poesia.
"
0,"ma in su casu de is limbas italianas de su nord-italia , is academicos donant conca a no sobravalutare is efetos istrangios a pitzus de s'isvilupu de is limbas.
"
0,"su potere econòmicu e s'isvilupu relativamente avantzadu de sa tuscana a su tempus (taru mesuevu) ant donadu importantzia a su toscano mancari su venetu est abbarradu comente limba de su commertziu e su genovesu est abbarradu che limba de su commèrtziu in totu su mediterràneu.
"
0,"s'influentzia semper prus manna de firentzedurante su perìodu de sa famiglia medici, s'umanismu e su rinascimentu ant fatu de su daletu suo o prus chi no àteru de una versione rafinada de custu, unu istandard in is artes.
"
0,"riferimentos
"
0,"ils sont doués de raison et de conscience et doivent agir les uns envers les autres dans un esprit de fraternité.
"
0,"apartenet a su grupu gallo-romanzu e est originàriu de su norte de sa frantza atuale.
"
0,"si faeddat comente prima limba in europa (frantza, bèlgiu, isvìtzera, mònacu e lussemburgu) e fintzas in amèrica in canadà (québec, nou-brunswick).
"
0,"est annotamala faeddadu in is istados unidos (frantzesu cajun e frantzesu acadianu), haiti (cun su crèolu), e numerosos istados de su mundu, massimamente in àfrica.
"
0,"segundu istimaduras de s'organisation internationale de la francophonie (fundadas subra projetziones demogràficas de is natziones unidas), durante su sèculu xxi su frantzesu s'at a fàghere sa de tres limbas cun nùmeru majore de faeddatores in su mundu, mescamente pro sa crèschida de sa populatzione de is paisos africanos francòfonos.
"
0,"sa gnu free documentation license (gnu fdl) est unu permissu de copyleft pro contènnidos lìberos, creadu dae sa free software foundation pro su prozetu gnu.
"
0,"s'iscritu ufitziale de su permissu est disponìbile a s'url http: html, e puru a s'url http: softwarelibero.
"
0,"html est disponìbile sa tradutzione no ufitziale in italianu.
"
0,"su gnu fdl l'ant creadu pro dispensare sas iscrituras de software e materiale de imparu.
"
0,"narat chi onzi esemplare de su materiale, modificadu puru, cheret dispensadu cun su matessi permissu.
"
0,"custos esemplares faghet a bender·los e, si riproduidos in cantidade manna, cherent produidos puru de una manera chi siat fàghile de los modificare torra.
"
0,"sa wikipedia est sa incunza prus manna de documentos chi utilizat custa impronta de permissu.
"
0,"su isvilupu legale de debian non cunsiderat su gnu fdl unu permissu lìberu, pro ite non respetat sas debian free software guidelines (ide [http: html], in ingresu).
"
0,"sas ""partes segundàrias""
"
0,"su permissu separat craramente su ""documentu"" dae sa ""parte segundària"".
"
0,"custa parte podet contenner informatziones a pitzus de su ligàmene intra s'autore (o s'editore) e su suzetu de su documentu, ma nissuna informatzione a pitzus de su suzetu matessi.
"
0,"diferentemente dae s'iscritu de su documentu, chi su cambiamentu suo est permissu cun conditziones eguales (e puru incompatìbiles) a cussas de su gnu general public license, carchi una de sa partes segundàrias ant carchi restringhimentu istudiadu pro garentire s'atributzione zusta de s'iscritu a sos autores pretzedentes.
"
0,"in su particulare, sos autores de una versione pretzedente cherent ispetzificados e carchi ""setzione eguale"" ispetzificada dae s'autore orizinale e chi pertocat su ligàmene suo cun su documentu, non cheret modificada.
"
0,"si su documentu est modificadu, su tìtulu suo cheret modificadu (nessi siat chi s'autore pretzedente apat contzessu su permissu de lu mantenner eguale).
"
0,"su permissu aministrat puru sa fatzada de innanti e de addaisegus, a prus chi sas partes assinnadas a sa istòria de su documentu, a sos ringratziamentos, a sas dèdicas e a sos riconnoschimentos.
"
0,"impreare su gnu fdl
"
0,"pro apricare custu permissu a unu documentu iscritu, cheret posta una còpia de su permissu (in inglesu!) in su documentu e inseridu custu avisu zustu a pustis de sa pàzina de su tìtulu:
"
0,"copyright (c) annu nòmene bostru.
"
0,"custu documentu sighende sos tèrmines de su permissu pro
"
0,"documentatzione lìbera gnu, versione 1.1 o onzi versione a pustis pubricata dae sa free software foundation;
"
0,"setziones non modificàbiles allistrare sos tìtulos, cun sos iscritos
"
0,"coberta lista, e cun sos iscritos de coberta de palas lista.
"
0,"còpia de su permissu est postu in sa setzione intitulada ""permissu pro documentatzione lìbera gnu"".
"
0,"si non bi sunt setziones non modificàbiles, cheret iscritu ""sena setziones non modificàbiles"" imbetzes de narrer cales sunt non modificàbiles.
"
0,"si non bi est iscritu coberta, cheret iscritu ""nissunu iscritu coberta"" imbetzes de ""s'iscritu coberta est lista""; e de sa matessi manera cheret fatu pro s'iscritu de coberta de palas.
"
0,"wikipedia e su gnu fdl
"
0,"totus sos artìculos de sa wikipedia sunt distribuidos cun su gnu free documentation license.
"
0,"pro una mezus informatzione faghet a abaidare wikipedia:
"
0,"deretu de autore.
"
0,"sa còpia locale de su permissu, comente chèrfidu dae su gnu fdl, est in iscritu de su gnu free documentation license.
"
0,"materiale chi est proibidu a lu distribuire a mercadu
"
0,"nissunu materiale chi est proibidu a lu distribuire a mercadu podet esser impreadu in unu documentu suta permissu gnu fdl, pro esempru unu artìculu de wikipedia, ca su permissu non proibit unu utilizu cumertziale.
"
0,"comuncas, in unos acasos ispetzìficos, s'impreu cumertziale diat poder esser onestu e in cuddu acasu cussu materiale no at abisonzu de esser distribuidu suta gnu fdl si custu impreu pertocat a totu sos utentes potentziales de su documentu orizinale.
"
0,"unu esempru craru est dadu dae sas parodias.
"
0,"boghes ligadas
"
0,"futei (nùmene ufitziale in sardu, in italianu furtei) est unu comunu de unos 1.700 bividores de sa provìntzia de su campidanu de mesu.
"
0,"sa bidda e su sartu
"
0,"futei s'agatat in su campidanu de mesu e a pretzisu in sa valentza-marmilla, da atraessat su frùmini mannu e est in is pees de unu montigheddu carcàreu.
"
0,"istèsiat unos 45 km. de casteddu, est sa gianna de sa marmilla e de sa trexenta pro chie benit de su campidanu.
"
0,"est fàtzile arribare a futei passende pro sa ss 197 pustis 4 km de s'ingrugiada de biddasanta (ss.40), in deretura de barùmini.
"
0,"acanta a su sartu de futei tocat a regordare a su mancu chimbe nuraghes - mancari oe irrocados - in cussòrgia cumossàriu, sos bagnos, sa conca manna, nuraghiais e su bruncu de su sentzu.
"
0,"a pagos chilòmetros dae sa bidda nche fiat sa biddighedda nuraghe, chi esistiat ancora in su xvii sèculu.
"
0,"sa crèsia retorale fiat intregada a santu brai e esistit oe puru.
"
0,"s'orìgine de futei si ponet in su 1290 mentres su nòmine, capatzu de orìgine prelatina, est atestadu in su 1340 (ecclesie de frutey calaritane diocesis), ma su chi bolet nàrrere est dudosu.
"
0,"pagas sunt sas testimonias de sos pùnicos (cussòrgia santu brai), meda prus pagos sos rastos romanos: abarrat feti unu ponte de pedras acanta a sa bidda.
"
0,"unos cantos de nodas istòricas narant chi futei est istada una bidda medievale de una cancu importàntzia.
"
0,"in su 1358 furtei est istada donada in fèudu a guglielmo bertrando de torrente.
"
0,"in su mentres de su perìodu de sa dominatzione aragonesa furtei fiat parte de sa curadoria de nuràminis.
"
0,"candu, in su xiv sèculu, sos aragonesos aiant tzerriadu in casteddu su primu istamentu, futei, chi giai gosaiat de franchìgias, ddi aiat imbiadu sos rapresentantes suos.
"
0,"in su 1414 furtei est essida baronia e est istada donada a is sanjust.
"
0,"su 8 de freàrgiu de su 1421 su rei alfonsu v de aragona aiat donadu sa bidda a donnu dalmàtziu sanjust, pro sa balentia chi issu aiat ammustradu in sa gherra de còrsica.
"
0,"sa cuntzedidura dd'ant cunfirmada su 10 de abrile de su 1426.
"
0,"mortu donnu dalmàtziu chena de fedu, sa bidda est passada, segundu su pregone de su 19 de freàrgiu de su 1456, a su frade antoni alibertu, chi at donadu cumentzu a is contes de santu larentu.
"
0,"sa bidda est abarrada a is sanjust finas a su 1839, cando l'ant luida.
"
0,"su 1561 est s'annu de s'inghitzu de una sèria de àutus filigresialis, chi si cunservant in s'archìviu arcobispale de casteddu.
"
0,"sa filigrèsia avedale est dedicada a santa bàrbara, ma in sos àutos de sa bìsita pastorale de su arcobispu melano in su 1777 resurtat chi santa bàrbara fiat s'abogada, mentres santu antiogu fiat su titulare de sa crèsia.
"
0,"oe futei est connota pro sas mineras de oro.
"
0,"ant agatadu tretos de muros e pamentos de trinta domos de s'edade de su ferru e de s'edade antiga.
"
0,"in su cùcuru de santu brai sos cartaginesos ant tramudadu una primu fortilesa nuràgica segundu sa fòrmula de s'architetura militare issoro.
"
0,"su montigheddu anca fiat su nuraghe dd'ant afortiadu cun unu muru o una barandìllia de pedras, e l'ant partzidu in duas partes ponende parte de su nuraghe a intro de una turre tzentrale de forma cuadra.
"
0,"a sa turre s'arribat de nord traessende un'intrada afortiada a forma de ghidu.
"
0,"un'àtera lìnia afortiada prus in foras paret èssere esìstida a unos 10 m. dae sa prima.
"
0,"sa manera de fraigare su nuraghe assimìgiat a cussas amparadas pro is biddigheddas de monti nari, pani lòriga, e monti sirai in su vi e v sèculu a.c, e serbiat pro castiare una posidura istratègica, posta acanta a su frùmini mannu e a unu istrintu chi acàpiat su campidanu a sa marmidda.
"
0,"arte e architetura
"
0,"sa filigrèsia de santa bàrbara mantenet unu cuadru de importu, pintadu a ògiu de antiogu mainas (xvi seculu) chi afigurat su cravamentu e una “dormitio virginis” de interessu de su setighentos cun sa pannamenta de bestires de brocadu, sàndalos e corona de prata.
"
0,"in su sartu, sa crèsia de santu nartzisu naschet in unu montigheddu acanta de sa bidda e sa crèsia de santu brai fiat sa filigrèsia de sa bidda issussada de nuraghe.
"
0,"festas e traditziones
"
0,"in sos bighinados de sa bidda alluent is fogadones e domandant a s.
"
0,"sebastianu una messadura rica.
"
0,"sa presentada de gesùs pipiu a su tèmpiu.
"
0,"sa priorissa de su pòpulu oferit a su retore e a sa cunfraria de su rosàriu duos gatòs, durches de mèndula.
"
0,"festa litùrgica in onore de santu brai, cun s’imposidura de sas candelas contras a su dolore de su gùturu e ònnia àteru male.
"
0,"sa pintadura de sa pramma chi pro connotu su comunu oferit a su pòpulu.
"
0,"est connotu chi su sìndigu donet sa prama de su pàssiu, arta giai 130 cm, a su retore chi l’at a portare in prufessone in sinnu de cumandu e de beneditzione.
"
0,"in custa manera sos futeresos bolent regordare su momentu de sa firma de sa paghe intre sas biddas antigas de futei e de nuraxi, acadèssida in su 1605, pro intertzessione de su barone sanjust, chi aiat donadu a totu sas famìlias de sas duas biddigheddas unu rampu de pramma segada de su giardinu cosa sua.
"
0,"su scravamentu de su cristu de sa rughe.
"
0,"sacra rapresentatzione in sa filigrèsia e in is pratzas de sa bidda.
"
0,"pasca manna, s’incontru.
"
0,"cristu torradu a bìvere e sa madonna s’addòbiant, un'annu in sa parte arta e un'annu in sa parte bassa de sa bidda, pro beneìghere su sartu.
"
0,"afestadu de is massajos.
"
0,"is pipios portant in prufessone mannugheddus de cabitzas.
"
0,"festa de is pastores.
"
0,"s' istàtua de su santu dd'at donada in su ‘900 de sa famìllia de pepinu corda, pro gratzia retzida.
"
0,"oe sa festa dd'organizat sa fìgia evelina.
"
0,"afestada dae totu is fèminas a nòmine arrita, cun s'oferessimentu de is rosas.
"
0,"sa festa, in onore de su santu prus istimadu de s’itàlia, dd'organizant is òmines de sa bidda chi si tzèrriant antoni.
"
0,"medas manifestatziones isportivas e culturales portadas in antis dae su comunu.
"
0,"santu brai, amparadore contras is dolores de su gùturu, dd’afestant in sa cresiedda (in su sartu) de su xiii sèculu, chi fiat sa filigrèsia de sa biddighedda nuraxi.
"
0,"sugestiva meda est sa torrada de su santu.
"
0,"est sa festa prus manna.
"
0,"pro connotu dd'organizant is bagadius de sa bidda, una chida de festa.
"
0,"su ballu de meigama e su ballu de su regordu in sa lògia de sa cresiedda e is prufessones in is bighinados de sa bidda.
"
0,"santu nartzisu.
"
0,"sa tzelebratzione religiosa de santu nartzisu, tzerriadu contras s’invasione de is pibitziris, s’afestat in sa cresiedda de su xiii sèculu, cun sa resada in sardu (su rosarieddu cantadu) intreverada de is òmines a una parte e de is fèminas a s'àtera.
"
0,"a sa fine de s’arrosarieddu si cantant is cojus a santu nartzisu.
"
0,"sa festa acabbat cun degustatziones de binu nou e castàngias arrustu.
"
0,"tzelebratzione religiosa e tzivile in onore de is sordados mortos in sa gherra.
"
0,"abogada de sa bidda.
"
0,"tzerriada contras tronos e lampos.
"
0,"a issa est dedicadu su portone tzentrale in brùngiu de sa filigrèsia, fatu de s’artista gianni argiolas , cumandadu dae don luigi melis,e pagadu cun is ofertas de su pòpulu.
"
0,"amparadora contras is males de sa bista.
"
0,"s’ùnicu biblioteca de futei est in carrera madre teresa di calcutta n°1, e tenet unos 3.
"
0,"est su segundu istadu prus pobuladu de s'unione europea a pustis de sa germània.
"
0,"est fintzas s'istadu prus estèndidu de s'unione europea e su de tres paisos prus ampros de s'europa a pustis de sa russia e de s'ucraina.
"
0,"diegu sarvadore corràine (nàschidu in nùgoro in su 1949) est istudiosu de limba sarda e iscritore e tradutore in limba sarda.
"
0,"est presidente de sa sotziedade pro sa limba sarda e diretore de sa sotziedade editoriale papiros.
"
0,"at bortadu e bortat in sardu libros pro mannos e pitzinnos.
"
0,"est diretore de s'editzione sarda de su curreu de s'unesco, rivista internatzionale de s'unesco e de unos cantos sitos in sardu presentes in ìnternet.
"
0,"dae meda s'interessat de problemas de polìtica linguìstica, normativa de sa limba sarda, lessicografia, terminologia.
"
0,"est istadu membru de s'osservatòriu de sa limba sarda; est istadu finas membru de sa cummissione incarrigada dae su guvernu sardu de ammaniare una proposta de limba sarda de referèntzia:
"
0,"sa lsu e, pustis, de sa lsc.
"
0,"libros iscritos dae issu
"
0,"libros pro pitzinnos
"
0,"linguìstica sarda
"
0,"normas ortogràficas pro iscrìere in sardu, papiros, nùgoro, 2018
"
0,"tradutziones in sardu de òperas de àteros autores
"
0,"ligàmenes esternos
"
0,"corraine, diego
"
0,"sisvètzia (in isvedesu:
"
0,"sverige [ˈsværjɛ]), ufitzialmente regnu de isvètzia (in isvedesu: konungariket sverige), est unu paisu iscandìnavu de europa de su norte chi faghet parte de s'unione europea (ue).
"
0,"sa tzitade prus pobulada e fintzas capitale est istocolma.
"
0,"cun un'istèrrida de 450 295 km²,
"
0,"ligàmenes a foras
"
0,"swedenabroad.
"
0,"àteros progetos
"
0,"natziones de s'europa
"
0,"adelàsia de torres (àldara, 1207 - su burgu, 1259) est istada reina de torres (o logudoro) e de gallura in s'edade de mesu, e reina de sardigna puru.
"
0,"segunda figia de su soberanu de su regnu giudicale de torres marianu ii de lacon-gunale, e de annesa de lacon-massa de càlari.
"
0,"in su mese de santugaine de su 1232 su maridu devenit re de gaddura e issa reina.
"
0,"devènnida biuda a trintunu annos in su mese de ghennàrgiu de su 1238, contra a sas bètias de su papa chi la cheriat fagher cojure cun guelfo porcari, si torrat a cojare, in su mese de santugaine de s'annu matessi, cun entzu o erricu hohenstaufen, fìgiu naturale de s'imperadore federicu ii de svèvia, chi teniat bìndighi annos (ma fortzis bintitrès).
"
0,"però la dassat noe meses a pustis de su coju, in su mese de trìulas de su 1239.
"
0,"tando, si nch'est inserrada in su casteddu de su burgu in gotzeanu.
"
0,"in su 1246 otenet dae su papa su divòrtziu dae entzu, e, segundu sa paristòria, si diat dever essere torrada a cojare cun su vicàriu giudicale micheli zanche.
"
0,"s'ùrtimu mentovu documentàriu suo, essende bia issa, est de su 1255.
"
0,"paret chi siat morta in su 1259 sena eredes, cunfirmende una donatzione de s'istadu suo a sa crèsia, giai espressada dae su mese de martzu de su 1237.
"
0,"a custa donatzione si fiat apostu entzu, chi pretendiat galu su rennu de torres trasmitende sos deretos soberanos suos a sos nebodes - fìgios de sa fiza -arrigo e nino de sa gherardesca;
"
0,"ma chentza cunseguèntzias.
"
0,"segundu su libellus iudicum turritanorum fiat istada interrada «dae antis de su altare majore» de sa catedrale de nostra sennora de su rennu in àrdara; àteros, imbetzes, pensant chi siat istada interrada in sa crèsia de santu bainzu màrtire in isprollatzu.
"
0,"sa coja cun ubaldo visconti
"
0,"in su 1218 marianu ii de torres, alleadu de is genovesos, pro assegurare sa sutzessione de su giuigadu a sa figia adelasia aiat concluidu unu acordu cun su giuighe de gaddura lamberto visconti, chi aiat minetadu de invadere is territorios suos pro ddi ddos furare cun s'agiudu de sa repubblica de pisa.
"
0,"marianu, difatis, si fiat abigiadu ca no teniat sa fortza militare pro contriare is pisanos, aiat bofiu otènnere unu acordu patzìficu prometinde in isposa sa figia adelasia a su figiu de lamberto e erederi a su giuigadu de gaddura ubaldo visconti.
"
0,"orgòsolo est una bidda de s'ìsula de sardigna cun 4538 bividores de sa provìntzia de nùgoro in sa barbagia de ollolai.
"
0,"s'economia sua est basada in sa pastoria e in su turismu, mescamente pro bisitare sos murales, oe si at sa connoschèntzia de sa bidda in italia e in foras de itàlia.
"
0,"custa traditzione de sos murales est nàschida in sos annos '60, paris cun sa protesta polìtica contras a s'idea de s'istadu de pònnere bases de annestru militare in sa localidade de pratobello, a mesu caminu dae orgòsolo a fonne.
"
0,"sos murales sunt rapresentados disignos polìticos, problemas antigos, iscenas cuotidianas de sa bidda o traditziones antigas.
"
0,"heinz jürgen wolf (düsseldorf, germània 1936 - bonn 2016)
"
0,"unas cantas òperas
"
0,"riferimentos
"
0,"wolf, heinz jurgen wolf, heinz jurgen
"
0,"wolf, heinz jurgen
"
0,"grazia maria cosima damiana deledda, connota che a gràtzia o gràssia deledda
"
0,"reconnoschimentos
"
0,"sandorra est un'istadu natzione de s'europa otzidentale.
"
0,"sa capitale sua est sa vella.
"
0,"est a làcana a setentrione cun sa frantza e a meridione cun s'ispagna e s'estendit totalmente in sa cadena de is pirenèos.
"
0,"tenet istèrrida de 467,63 km2.
"
0,"s'andorra, mancari siat meda pitica, est su microistàdu prus mannu de is 6 europeos (santu marinu, liechtenstein, malta, tzitade de su vaticanu, printzipàdu de monaco).
"
0,"mancari s'indipendèntzia sua est istada decrarada in su 1278, est intradu a fàghere parte de s'onu isceti in su 1993:
"
0,"prima fiat un'ispètzie de protetoradu de s'ispagna e de sa frantza.
"
0,"est puru unu de is istàdos prus àrtos de su mundu, cun un'artària mìnima de 870 m. e una màssima de 2409 m.
"
0,"su clima est de montagna.
"
0,"sa populatzione andorresa est, ironicamente, una minorantza in s'istadu: su 33% isceti de is andorresos tenet sa tzitadinàntzia: su restu est cumpostu pro sa prus parte dae ispannolus, portughesus e frantzesus.
"
0,"sa limba prus faeddada est su catalanu, perou sunt faeddadas su ispannolu, su portughesu e su frantzesu aici e totu.
"
0,"s'economia est meda fròrida e si basat printzipalmente in su turismu.
"
0,"sa religione prus sighida est su catolicèsimu.
"
0,"de su mesuevu a s'etade moderna
"
0,"is primas orìgines de un'entidade polìticu territoriale andorrana si cunfundent is evolutziones istòricas frantzesas:
"
0,"sa traditzione narat ca carlo magno apat cuntzessu s'autonomia a su pòpulu andorranu in cambiu de de un'alleantzia contra a is moros.
"
0,"sa signoria diat essere passada a su conte urgell e a pustis a s'episcopu de sa diotzesi locale.
"
0,"est istadu s'aparadu eclesiasticu etotu a donare sa suprematzia de su printzipadu a is sennores caboet, ca a pustis si sunt imparentados cun sa dinastia de is contes foix ;
"
0,"su conte aiat eredadu tèrritorios atressu is pireneos, inclùdida andorra.
"
0,"de su ix sèculu fintzas a su xiii sèculu est istadu una dipendentzia de s'episcopu catalanu de s' urgell .
"
0,"in s'xi sèculu fiat nàschida una contienda a pitzus de andorra intra s'episcopu e su bighinu suo otzitanu.
"
0,"in sul 1278, su conflitu intra s'episcopu de urgell e is contes urgell est istadu risoltu de sa firma de un acordiu (paréage), ca istabiliat ca sa soberania de andorra diat dèpere èssere opratzida intra is contes foix (su tìtulu de custos contes est istadu a pustis trasferidu a su capu de istadu frantzesustabiliva come la sovranità di andorra sarebbe stata divisa tra il conte di foix (il cui titolo sarebbe in seguito stato trasferito a su capu de istadu frantzesu) e s'episcopu insediadu a la seu d'urgell, in catalugna.
"
0,"su paréage, un'istitutzione feudale che reconnoschiat su printzìpiu de uguagliantzia de diritos cumpartzidos de duos regnantes, at donadu a su printzipadu sa forma territoriale e polìtica ca est abbarrada firma in su tempus fintzas a oe.
"
0,"atressu is annos su tìtulu de is contes de foix est passadu a su re de navarra, ma cando enrico iii de navarra est diventadu enricu iv de frantza, aiat emanadu un decretu de su 1607 ca trasmetiat su tìtulu, de origine franca, a su capu de istadu frantzesu, mantenende is privilegios de s'episcopu urgell: beniant aici nomenados duos coprintzipes pro dda guvernar
"
0,"edade cuntemporanea
"
0,"in su 1806 est istada fraigada de napoleone bonaparte sa repubblica indipendente de andorra, ghiada de unu cunsìgiu eletivu, chi de su 1812 a su 1814 aiat fatu parte de su primu imperu frantzesu, e a pustis aiat cunchistadu sa catalugna, pratzende-dda in 4 départements.
"
0,"andorra fiat istada annessa a custu urtimu territòriu, in paris a sa bighina puigcerdà nel département de sègre.
"
0,"in su 1866, in su principadu de andorra fiat cumintzadu unu protzessu de riforma istitutzionale connotu cun su tèrmine de nova reforma, promulgada su 22 abrile 1866.
"
0,"atressu sa prima gherra mundiale andorra aiat decraradu gherra a s'impèriu tedescu, ma no aiat pigadu efetivamente parte a su cunflitu pro sa poberesa de is resursas suas.
"
0,"però est abbarrada unu istadu formalmente in gherra cun sa germania fintzas a su 1939 no essende istada invitada a sa cunferentzia de parigi e duncas no aende firmadu su tratadu de versailles.
"
0,"in su 1933 sa frantza aiat ocupadu andorra pro neghe de su scuntentesa sotziale a pustis sa tornata eletorale.
"
0,"su 12 de argilas de su 1934 unu avventurieru, ca ddu narainat boris skossyreff, aiat fatu una proclamatzione solenne a la seu d'urgell, autodecrarende-sì boris i, printzipe soberanu de andorra, e decrarende a su propriu tempus gherra a s'episcopu de urgell.
"
0,"est istadu arrestadu oto dies a pustis, su 20 de triulas, de is autoridades ispagnolas e definitivamete espulsu de s'ispagna.
"
0,"de su mese de triulas de su 1936 fintzas a su mese de argiolas de su 1940 unu distacamentu de fortzas armadas frantzaesas est istadu postu in su printzipadu pro evitare is efetos negativos de sa gherra tzivile ispagnola in su printzipadu.
"
0,"is trupas franchistas, ainat retzidu is confines de s'andorra a sa fne de su cunflitu.
"
0,"andorra est istada pagu coinvolta in is gherras mundiales, abbarrende acapiada a manera istrinta a sa frantza e a s'ispagna.
"
0,"intra dognassantu 1942 e austu 1944 in andorra ci fiat unu distacamentu de sa wehrmacht.
"
0,"de su 1993 su printzipadu istat a prenu deretu in s'onu e in su cunsigiu de europa.
"
0,"sa positzione sua isulada at postu andorra a foras de su cursu printzipale de s'istòria europea, cun pagu legàmines cun natziones a foras de s'ispagna e de sa frantza.
"
0,"in tempos retzentes, s'industria turistica e s'isvilupu de via de comunicatzione, at postu fine a s'isulamentu de su printzipadu
"
0,"andorra confinat a nord-est , nord e nord-ovest e a est cun sa frantza, mentre a ovest,sud-ovest,sud e sud-est cun s' ispagna.
"
0,"est unu istadu chentza de làcana cun su mare. 
"
0,"is limba sami, de su rom e sa sa de is sìngias finlandesa.
"
0,"sa proclamatzione fiat ancontèssida su 6 de nadale de su 1917
"
0,"sarule est una bidda de 1624 bividores de sa provìntzia de nùgoro, in sa barbàgia de ollollai a 600 m.
"
0,"est de orìgine preromana.
"
0,"segundu una paristòria sanile at un'orìgine medievale.
"
0,"si narat chi in s’annu 1000 unu ricu “ donno sarule”, agatende su logu bellu e sanu, apat fraigadu a una bidda chiat pigadu su nùmene suo.
"
0,"in su codex diplomaticus sardiniae de su 1388 s’agatat su nùmene de sarule.
"
0,"pro massimo pittau sa madrighe de sarule est sardiana o nuràgica pro su sufissu -ùle.
"
0,"sarule est una bidda de sa provìntzia de nùgoro, in pees de su monte gonare, in mesu de sa barbàgia de ollollai, a 6 km dae sa bidda de orane.
"
0,"su territòriu est a monteras, prenu de abba, sas terras sunt sas prus antigas de sa sardigna, a lu nàrrere a craru sunt sos minerales presentes in sa zona.
"
0,"de importu mannu est sa cava chi b’est in sa de duas bicas de su monte gonare, e li narant gonareddu.
"
0,"un'àtera cosa de ammentare de sa bidda est sa funtana de gaghisi.
"
0,"vittorio angius narat chi sos insediamentos bi sunt dae sos tempos preistòricos, medas difatis sunt sas domus de janas e sos bidditzolos in su territòriu.
"
